,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,147,154,0.5300069,0.14651905,-0.8454811,-0.04506673,0.49685842,0.2420781
1,16,122,116,0.55641246,0.054961205,-1.636214,0.43919903,1.6324474,-0.610401
2,16,67,46,0.0015421176,0.068442725,0.4099203,-0.016264107,1.3456911,-1.7516559
3,16,183,155,0.95883745,0.75443983,-0.8334694,1.960615,-0.984864,1.2516997
4,16,48,135,0.24645092,0.7152138,1.0988772,-0.48131743,1.5921825,-1.2974406
5,16,136,17,0.07648373,0.045247883,0.4906995,0.41000366,-1.7859303,-1.3801341
6,16,205,62,0.68519413,0.92510843,0.6425335,-0.27800217,1.417577,-0.36902037
7,16,125,106,0.42314503,0.1354729,-1.2960379,-0.45192772,1.3300763,0.053697053
8,16,148,15,0.41234234,0.50277686,-0.7852488,0.13553339,0.45247975,-0.18223688
9,16,197,80,0.94434834,0.6368856,-0.56924754,1.4675467,0.9283417,1.067889
10,16,196,77,0.51630074,0.03874863,-0.6138389,0.17860271,0.93539435,-1.4898751
11,16,200,7,0.81228024,0.049162358,-0.9465645,0.98246545,0.56738955,-0.070792526
12,16,118,23,0.5842832,0.36709195,-2.7215087,1.738298,-1.7940898,-0.21065132
13,16,166,138,0.9606713,0.49703157,0.3902465,2.2194278,-1.1279471,2.007947
14,16,61,105,0.012775038,0.060334474,-1.0105495,-0.34882468,1.309407,-1.8614895
15,16,21,123,0.2753777,0.8859849,-1.0991367,1.2616564,1.395239,-1.028813
16,16,65,149,0.9875694,0.9891355,1.955363,1.4520302,-0.41831616,-0.17984147
17,16,162,53,0.26707464,0.15354988,-0.9646856,0.8704328,-0.573683,0.05256912
18,16,175,56,0.88048196,0.7028989,-0.72576654,1.0927402,0.4611052,0.27915734
19,16,77,89,0.13862285,0.18404016,0.23942716,-1.5177886,2.4700117,-0.8867408
20,16,30,137,0.062240362,0.84790605,-0.14472452,0.3972065,0.32173553,-1.2036452
21,16,169,50,0.44616437,0.05122287,-1.4677068,0.4662518,0.8776357,0.7406412
22,16,101,62,0.24396941,0.14099747,-0.9874768,-0.23833404,-0.82650495,-1.4829111
23,16,107,107,0.048361253,0.04326722,-0.1470726,-1.5333278,1.5112301,-2.4381452
24,16,41,143,0.062382944,0.107030414,0.96097374,-0.6185056,1.3402692,-1.234582
25,16,110,84,0.3183518,0.14421566,0.14929122,1.0767356,-0.13701867,-0.37106675
26,16,87,135,0.4715768,0.17351104,0.8867333,-0.7161869,0.5970477,-0.45608252
27,16,37,121,0.0061605074,0.065301746,-1.6096746,-0.24619101,0.9684696,-1.5359869
28,16,99,80,0.068883136,0.30026907,-0.7937735,-1.6625322,0.39643463,-1.8082309
29,16,151,138,0.37781006,0.027976148,1.4428705,-0.8395645,0.9537635,-0.5072334
30,16,180,153,0.5257896,0.11029766,-0.07821155,0.18054962,1.1093835,0.38034287
31,16,70,82,0.013289193,0.13194536,-0.35040447,-0.99831146,1.8471761,-1.4333322
32,16,148,29,0.06699596,0.8478303,-1.1442697,0.73661405,-0.61786765,0.117275946
33,16,190,89,0.38710886,0.05730094,-0.45595375,-0.080211036,1.9995018,0.28072476
34,16,119,30,0.3689292,0.059930626,-0.22819574,1.115655,0.0011621893,1.6543579
35,16,120,153,0.8516244,0.013213482,0.029708905,0.12851991,-0.5447926,0.7507551
36,16,6,130,0.19356324,0.72572494,0.64592725,0.20109856,-0.35161403,-0.39593723
37,16,60,106,0.006725852,0.055502452,-0.96994215,-0.96717364,1.3512352,-2.0656943
38,16,143,49,0.19758618,0.18392147,-0.059526667,0.3730057,0.23630875,-0.9568147
39,16,104,126,0.6114288,0.029613346,0.5046009,0.017800115,0.28764817,-0.654365
40,16,123,88,0.0009931719,0.7737159,-2.6140177,-0.35749072,-0.70855224,-0.4474779
41,16,139,160,0.9089042,0.805832,-2.2923005,1.4436085,0.0395394,0.8366359
42,16,101,120,0.35069978,0.12778443,0.2673805,-1.4855572,0.24625726,-1.6845647
43,16,176,54,0.94798756,0.78852916,-1.1286724,0.04019053,1.4428582,0.15760732
44,16,172,102,0.6891037,0.038204834,0.70814794,-0.300059,0.95123374,0.2927898
45,16,196,100,0.9355478,0.9192388,0.093302906,-1.1278614,0.41009152,-1.5265393
46,16,80,46,0.019118812,0.24813256,0.62352943,-1.2513328,-0.041057345,-1.5662483
47,16,29,116,0.14637426,0.21337694,-0.57920873,-0.50164056,1.4537778,-0.23710117
48,16,152,122,0.97732866,0.952983,0.5433291,2.0570982,-1.9312274,-1.4528718
49,16,105,72,0.02599145,0.26677877,-1.1717601,-1.0861255,0.37315533,-1.0266504
50,16,20,108,0.0016753604,0.6021302,-1.1735967,0.64633805,0.2449112,-1.677973
51,16,97,149,0.9516282,0.915472,1.4807092,0.3366399,0.4315864,-0.51369643
52,16,106,67,0.017205326,0.46479362,0.036103208,-2.5649161,1.5537726,-1.7798934
53,16,188,119,0.8314457,0.07037325,0.58703905,0.1059145,0.30085984,0.1535302
54,16,118,42,0.34822693,0.0378135,-0.68706274,0.025505608,1.1835799,-0.2755273
55,16,24,127,0.07008565,0.7572964,-0.9877949,1.1323726,0.7793415,-1.6771712
56,16,191,162,0.23738277,0.010438392,1.5844502,-0.9747976,-0.4574387,-1.01045
57,16,204,64,0.38525677,0.021746932,-0.84807897,-0.17022339,2.2883377,-1.2689351
58,16,42,147,0.01595058,0.15598471,-0.433997,-0.0538113,1.0046015,-1.3861604
59,16,60,145,0.0027774388,0.16266637,1.715689,-2.4237876,0.77294785,-2.450155
60,16,123,157,0.93806565,0.67421037,-0.78765273,0.16044438,0.9558199,0.050469734
61,16,49,116,0.0037748266,0.20869166,-0.90503865,0.17798826,0.8303147,-1.5462555
62,16,142,75,0.0012826333,0.8183173,-1.2583741,0.034803715,-1.5649165,-0.94779235
63,16,174,98,0.31708878,0.03880927,0.04827535,-0.8520595,1.0211856,-0.15488684
64,16,13,150,0.13631767,0.8973698,2.1432657,-3.4327576,0.5777228,-0.6736133
65,16,53,133,0.03463052,0.07770075,0.35239312,-0.1487821,0.72156477,-1.1600533
66,16,62,45,0.0007866795,0.020178856,-0.5700954,0.11630507,2.4255855,-1.079723
67,16,216,9,0.045868482,0.20816535,0.09194758,-0.7677288,-0.67392653,-0.9595798
68,16,136,39,0.3358541,0.56119734,0.16156824,0.75147176,-0.56491387,0.101817906
69,16,156,148,0.5116558,0.31654954,-1.0434507,0.10262564,0.20801899,0.6159267
70,16,183,19,0.21038428,0.17100513,-0.9845878,-0.48781466,0.24418135,-0.72608733
71,16,182,133,0.5636718,0.019347249,0.5468911,-0.26450562,0.3026837,0.07140184
72,16,51,107,0.00024298132,0.48991963,-2.5338147,0.041166283,1.9570743,-1.0266292
73,16,122,57,0.4522441,0.035671286,-0.26808256,0.6868508,-0.1807798,1.6369672
74,16,78,117,0.06969646,0.051109094,0.49324447,-1.0840673,-0.12242885,-0.23025358
75,16,207,70,0.6115081,0.13766168,1.3564013,-0.48448026,-0.044343065,-0.77857935
76,16,137,86,0.119446345,0.05391763,0.08582112,-0.082804985,-0.23027872,-1.0589329
77,16,172,138,0.2838473,0.29342514,0.76848054,0.48799437,-0.3564613,-0.15460047
78,16,205,14,0.71040434,0.05748251,-0.96945244,-0.36981177,-0.05635277,0.002838253
79,16,202,63,0.49761054,0.018690877,-0.22852483,-0.3844368,2.1782448,-1.6260154
80,16,167,67,0.84329575,0.2054739,-0.7193626,1.5056113,0.08753198,-0.021683449
81,16,119,110,0.5967212,0.03704639,-0.36585143,-0.3551954,2.8282566,-0.14634438
82,16,160,94,0.8437493,0.38357776,-0.57220674,-0.29636794,-0.008379448,0.6245692
83,16,149,89,0.4299331,0.07709466,-0.19147164,-0.35830674,-0.4244062,-1.2008221
84,16,115,114,0.9225329,0.4187745,0.35414135,0.73809797,-1.0298188,0.3930925
85,16,216,37,0.4528734,0.025660148,-0.6959697,-0.525679,0.10363451,-0.6253133
86,16,172,96,0.54792804,0.014483755,0.073545024,0.012751974,1.0682758,-0.013056815
87,16,32,137,0.004245163,0.7438631,0.12828049,1.3814915,0.016494574,-1.1403676
88,16,87,82,0.041728668,0.051143542,0.41090316,-1.480436,0.44123545,-0.7569048
89,16,6,139,0.060105484,0.86873317,0.6407901,-1.4169784,0.761812,-0.713408
90,16,195,87,0.9130826,0.957206,1.7736357,0.36008143,-0.79349273,-1.5136119
91,16,53,63,0.107695326,0.76717293,-1.6961039,0.72852933,0.37348068,-1.0887955
92,16,33,112,0.05360993,0.7727209,-1.7257804,0.84974116,0.8612846,-1.3338515
93,16,85,86,0.1305953,0.027134707,-0.01147238,-0.54281443,-0.2355261,0.5788594
94,16,172,9,0.43103722,0.74218386,0.0022893935,1.5359341,-0.17434025,-0.5500087
95,16,38,91,0.4436666,0.15195829,-0.045810714,-0.51929814,-0.9563922,-0.31674764
96,16,205,41,0.0008999379,0.69390285,-2.0629113,1.1129141,-2.2168925,0.44709095
97,16,129,120,0.984604,0.6681386,0.74608064,0.9175695,-0.007957404,0.5809448
98,16,139,104,0.42824244,0.07458012,-0.46921542,0.4067011,0.41175973,-0.6711872
99,16,199,152,0.6925237,0.6336378,-0.4272404,0.024647484,-0.30654442,-0.3509909
100,16,197,156,0.49184334,0.40949672,-2.1798565,0.60576916,-0.55340844,-1.0494492
101,16,189,146,0.8021241,0.8570092,0.89315873,-0.91052485,-1.4000199,-1.2537252
102,16,122,61,0.00053561875,0.787543,-1.8991191,1.2385935,-0.8042549,0.24935551
103,16,199,35,0.00078094855,0.8171511,-0.5095195,-0.4677886,-1.7884251,-0.21300991
104,16,156,41,0.30016056,0.10066216,0.36255267,0.3502306,-0.46790746,0.3692096
105,16,74,112,0.02683393,0.05998923,0.3045184,-1.1598537,0.8795957,-0.2550729
106,16,192,156,0.47452384,0.020865843,-0.44252753,-0.0007044545,0.3397123,1.0871944
107,16,166,88,0.9437795,0.4111867,0.59338915,0.48971057,-0.16577001,0.88767266
108,16,164,124,0.9882058,0.9860222,2.4647703,0.8723302,-0.14225647,-0.074983895
109,16,164,38,0.2031148,0.05780864,-0.63002914,-0.005738376,1.2867186,-0.87010324
110,16,178,76,0.762254,0.12771916,-1.1037171,1.1878238,0.2300218,1.2286443
111,16,172,58,0.6359484,0.20958668,-1.5658679,0.6867081,2.612664,0.27169782
112,16,102,124,0.81656253,0.34332302,-0.2511997,-0.3394431,0.3170915,-0.6816429
113,16,27,96,0.28523368,0.37193227,0.057515454,-0.65904886,-0.09270324,-0.5721775
114,16,148,56,0.0005473806,0.7625248,-1.1730961,0.52429765,-1.7846576,-1.3803263
115,16,195,89,0.82492447,0.6337801,0.13593894,0.36661488,1.2786534,0.6909953
116,16,148,116,0.9612394,0.9478394,0.49940264,2.3158593,-1.0439143,-0.10796735
117,16,166,121,0.76940584,0.72824466,-0.96105635,1.7003658,0.15869464,0.50640166
118,16,169,163,0.966324,0.7798144,-0.80654985,1.5210034,0.20933723,1.3254962
119,16,73,131,0.9393324,0.6657484,-0.040758252,0.53974205,-0.059187528,0.65443456
120,16,111,35,0.29823,0.029419348,0.13209343,0.17580245,-0.30498204,0.012945963
121,16,53,125,0.024757164,0.51949066,0.6482362,-0.11458631,0.9358284,-0.41058025
122,16,182,39,0.048294693,0.013838517,-0.6669485,0.16024393,0.1478056,0.6253437
123,16,14,135,0.0037261986,0.6315808,-0.6326959,-1.2283673,0.9733089,-0.96644974
124,16,202,75,0.7427367,0.037535854,-0.07056866,-0.026224837,0.113430835,0.058636494
125,16,78,114,0.02835386,0.09550535,0.5133499,-0.62367123,0.79543936,0.09933349
126,16,126,157,0.597762,0.013945171,-0.4337878,-0.14822704,0.78450334,1.5442692
127,16,161,122,0.53724843,0.58500385,-1.323471,0.6518852,0.36729947,0.68709314
128,16,130,85,0.005550542,0.8965542,-2.2795494,0.9892447,-1.4048387,0.104361564
129,16,205,95,0.81501025,0.82013977,-0.96656114,0.18351728,0.91702235,-1.0581514
130,16,175,72,0.70463306,0.7957055,-0.8535227,1.5554874,-0.065306365,-0.7374128
131,16,144,60,0.0023838803,0.7873575,-0.9151952,0.27182347,-1.5230445,-1.3389649
132,16,129,82,0.002804363,0.8417463,-2.2963533,0.3028561,-1.6976646,-0.2489604
133,16,124,90,0.00079059356,0.93150127,-2.294175,0.94760966,-1.4093531,0.099002846
134,16,72,47,0.0085806465,0.45532,1.2023884,-1.6676512,1.569102,-1.6949409
135,16,204,15,0.64110446,0.046493486,-1.0962127,-0.6110387,0.28384718,-0.48254806
136,16,62,122,0.044653997,0.10542344,0.20951435,-1.1763129,0.86094254,-0.35654095
137,16,96,78,0.011111749,0.18106197,-0.25450704,-1.9027008,0.7681415,-2.962572
138,16,119,96,0.33899093,0.93369514,-0.847014,1.3109473,-1.2028557,-0.5169872
139,16,159,24,0.1669939,0.66280854,-0.53765994,1.5331131,-1.6545674,-0.60635203
140,16,219,16,0.5359366,0.29338926,-0.03963203,-0.966419,0.7705509,-0.7712645
141,16,144,73,0.0016261628,0.77442133,-0.8020462,-0.36620852,-1.5074681,-1.0774449
142,16,148,124,0.5594871,0.65408516,0.09374732,0.8461614,-0.3780155,-0.05707196
143,16,119,106,0.57793534,0.88752824,-0.31285006,0.78766495,-0.06547294,0.35820937
144,16,162,20,0.27838746,0.637779,-0.6701915,1.2649307,-1.119667,0.5629473
145,16,151,127,0.018130967,0.87428147,-1.6501336,0.7432569,-0.74766046,-0.6630704
146,16,131,80,0.00015316131,0.85685444,-1.0669388,-0.25800976,-2.9315412,-0.9495354
147,16,128,141,0.63562834,0.51195985,-0.42071906,1.6514412,-0.4913062,0.7733284
148,16,123,74,0.037187155,0.077576816,0.023774745,-0.6429204,-0.2592692,-0.938236
149,16,209,8,0.030062243,0.09361675,-0.1341609,-0.642029,-0.37312204,-0.68718773
150,16,130,151,0.89082783,0.030404698,0.55141675,0.2312378,-0.72822076,0.51078427
151,16,82,56,0.032795433,0.17094241,0.12342719,-1.1876694,1.2109514,-0.9116402
152,16,174,150,0.942089,0.7469435,0.19272397,1.2898843,0.45880702,0.5472954
153,16,196,17,0.31118184,0.013603674,-0.9149677,0.45671412,1.0382998,0.066213414
154,16,169,162,0.9541718,0.69693875,-0.20058861,1.051187,0.18956107,1.4573486
155,16,41,147,0.0061812247,0.060374904,-0.46558368,0.028725112,0.9395975,-1.196539
156,16,53,122,0.025599383,0.028699325,-0.2316346,-0.058333773,1.3250546,-1.8106434
157,16,56,149,0.050740354,0.08548516,1.0172913,-0.93692625,1.3681848,-0.7807215
158,16,74,100,0.12564622,0.07280759,0.498621,-0.19208038,0.57512623,0.04387697
159,16,155,103,0.8404776,0.15131061,-0.58849174,0.88760597,-0.12880296,1.2679704
160,16,195,158,0.00043720662,0.8465891,-1.2615608,0.7449164,-1.6554728,-0.52824473
161,16,160,68,0.4582749,0.5294356,0.5777192,0.23076166,0.60933304,-0.9277199
162,16,160,81,0.868843,0.66744447,-0.16727994,-0.3230759,-0.46171734,-0.56520504
163,16,107,74,0.07480994,0.10161724,-0.55473983,-0.29826412,1.0685955,0.19414432
164,16,87,144,0.64450413,0.19665469,0.67037946,0.56910866,-2.012341,-0.30376217
165,16,207,24,0.31722626,0.42024916,-1.0089363,0.14156263,-0.96868783,0.13785191
166,16,200,121,0.872556,0.32364827,-0.34663284,0.8108055,0.16450997,0.33733216
167,16,124,28,0.09846199,0.70733243,0.018668322,-0.57421404,-0.60097677,-0.4537352
168,16,105,155,0.5072291,0.019550396,0.28987703,-0.35274184,2.3117592,-0.5524513
169,16,104,90,0.058337513,0.13750237,-0.05623787,0.09862465,1.1185331,-0.30987915
170,16,211,16,0.31730783,0.05536277,-0.208643,-0.94049674,2.0525434,-0.64991105
171,16,191,44,0.3494,0.6890231,0.39603996,1.8215356,-1.4575393,0.53039914
172,16,61,109,0.0063699502,0.06853731,-0.30853173,-0.39153275,1.2981834,-1.5625838
173,16,169,107,0.9870019,0.97432566,0.8863804,1.7663436,-0.7149681,-0.37772495
174,16,165,123,0.9789637,0.8659049,-0.8330903,2.393501,-0.7275019,0.06814789
175,16,179,107,0.4671295,0.07791554,-0.3721809,-0.11874988,0.12055412,0.37861377
176,16,181,67,0.556758,0.14232354,-1.4088783,0.58046377,0.42768562,0.27004483
177,16,158,80,0.64588386,0.9306338,-0.38918632,1.2337917,-1.5790004,-2.5926313
178,16,172,75,0.96520257,0.84691757,0.87458974,1.3435111,-0.6728353,-0.74033356
179,16,204,67,0.81116295,0.25270686,0.51193666,0.89016014,-0.6475346,-0.69561255
180,16,196,154,0.25135145,0.53639317,-1.1916263,0.31495753,0.31366843,-0.56534183
181,16,125,54,0.17220365,0.13251035,1.9109112,-0.36791202,1.2886565,-0.45771825
182,16,143,94,0.4923182,0.13492213,-0.38480318,-0.06532532,-0.2993089,-0.46478313
183,16,97,101,0.08278732,0.04731776,-0.51956034,-1.4699212,0.27659702,-1.6079919
184,16,134,145,0.5834056,0.009151936,0.21641648,0.051875506,0.6684537,-0.61666954
185,16,143,25,0.018188719,0.8028106,-0.50455374,2.3638194,-2.1773446,-0.82736325
186,16,120,54,0.12256834,0.01695968,-0.46736512,-0.39366904,0.54891264,0.43634534
187,16,125,107,0.42523468,0.044302486,-0.51582885,-0.032967754,2.4103744,0.9589922
188,16,114,22,0.014522668,0.0500275,-0.27955732,0.8073587,-0.8603679,-0.27111813
189,16,118,91,0.3258357,0.6123195,-0.75273603,0.16101238,0.41773507,-0.20360884
190,16,183,118,0.8364216,0.13152725,-0.31774503,0.504752,0.025583278,0.084412135
191,16,87,147,0.7519523,0.69124943,0.899622,-0.7374319,0.22704224,-1.8832712
192,16,125,161,0.90257937,0.07704131,0.40748516,-0.40728068,1.5513611,-0.32390267
193,16,178,39,0.11861713,0.020880139,-0.6462316,-0.12027328,1.0770084,-1.177527
194,16,173,16,0.29580012,0.55073714,-0.10420947,1.4075016,-0.8107975,-0.15633933
195,16,81,83,0.048233196,0.055777036,0.56418914,-0.6840264,-0.37752223,0.20694883
196,16,175,27,0.095807284,0.041908827,-0.79178643,-0.060490403,0.16952637,-0.7606331
197,16,179,5,0.03149097,0.12658392,-0.1676829,-0.2221706,-0.3824618,-0.9237558
198,16,8,123,0.13119155,0.8590043,1.0273727,-0.050290618,-0.31180257,-1.1299539
199,16,94,134,0.798087,0.6066367,-0.57980394,0.66000605,0.1468506,-0.5861799
200,16,69,54,0.01688146,0.052441966,-1.0629358,-0.15111493,1.2101221,-0.9462324
201,16,154,116,0.9883865,0.98130196,1.1423342,2.3654966,-0.9640194,-0.57947594
202,16,142,80,0.4081114,0.014406094,0.6718072,-0.3945289,-0.20722432,0.99341255
203,16,27,131,0.047361806,0.047433473,-0.963331,-0.40522373,0.66896975,-1.4026109
204,16,73,126,0.18944177,0.04908938,0.5661189,-1.6862695,-0.420973,-0.7591961
205,16,191,34,0.8572774,0.86536974,3.250962,0.8384075,-0.5006884,-0.2448379
206,16,177,47,0.6642935,0.18456255,-1.8341054,0.5711365,1.2075039,0.3790061
207,16,164,116,0.97031623,0.9766087,4.231821,0.34702933,-0.41763696,-2.2512853
208,16,200,63,0.5639223,0.03362743,-1.627205,-0.3892469,1.4600208,-0.14548437
209,16,127,55,0.026331775,0.6229949,-1.8989547,1.6438464,-0.71890587,1.3278264
210,16,92,49,0.052460313,0.1164062,0.91693395,-0.5707454,-1.5737194,-0.8712666
211,16,11,124,0.0016530352,0.42760882,-0.6743646,-0.43041646,0.4283161,-1.6915588
212,16,152,38,0.00039548246,0.9078634,-2.152538,1.4764196,-1.594867,-0.3708331
213,16,166,82,0.37861744,0.8140252,-0.9096886,-0.18787658,-0.05824329,-1.2567757
214,16,82,53,0.080115296,0.08680714,0.6944961,-1.7163734,0.5193636,-1.1263666
215,16,29,121,0.064987056,0.72573596,-1.136196,0.9752296,0.3050574,-0.9814169
216,16,77,47,0.006845367,0.36934853,1.1135519,-1.7842408,1.1827276,-1.7965053
217,16,17,129,0.017130926,0.40351,-0.18383108,-0.3596709,0.51061183,-2.228365
218,16,137,122,0.7705153,0.28471985,-0.35833958,0.32194686,0.31432572,-0.39711887
219,16,44,80,0.0016869761,0.4966039,-0.92518884,-0.3235009,0.37450656,-1.3514392
220,16,146,103,0.35131502,0.071609244,0.4547067,0.51657116,-1.1875945,0.7597158
221,16,136,76,0.3625649,0.10875892,-0.20223461,0.8341222,-0.17928898,-0.31042495
222,16,69,149,0.32060266,0.027379273,-0.27049586,-0.09536835,0.947418,-0.005964548
223,16,110,115,0.8923029,0.7891629,0.12605537,0.49779117,-0.118932635,-0.78827184
224,16,124,128,0.91711897,0.4720013,0.12764171,1.3649083,0.89833534,0.4771629
225,16,17,116,0.18145788,0.8465536,-0.8789744,0.7681378,0.93652827,-1.2210792
226,16,145,102,0.7091141,0.24765414,0.21335559,-0.03270207,-0.19716725,2.028756
227,16,36,99,0.015057826,0.8068893,-0.63724875,0.3407627,0.40569565,-1.4299904
228,16,15,117,0.001010529,0.784598,-1.6211113,1.1316125,1.1046234,-0.97353286
229,16,141,85,0.49071634,0.029143542,-1.3243146,0.31950614,0.88749224,-1.016847
