,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,81,124,0.1656614,0.0112275155,-0.31828177,0.3046609,0.8032911,-0.54710156
1,16,51,103,0.6671326,0.04694364,-0.570041,1.5735519,1.071596,-0.25486338
2,16,197,28,0.00038252768,0.6070312,1.0685276,-2.3844576,-2.2229452,-1.5550084
3,16,175,73,0.0058964863,0.9031967,1.4900713,-0.45225334,-1.0671612,-1.0201521
4,16,50,57,0.40459847,0.32985368,-0.010544405,-0.84325784,1.2214199,-0.3769744
5,16,73,120,0.20058869,0.5217536,-0.9797388,0.96342963,0.43334836,-0.37510106
6,16,156,109,4.017037e-05,0.7424565,0.64246976,-1.3037653,-3.5741575,-1.3292243
7,16,48,144,0.24063799,0.02960173,0.05428107,-0.19577222,0.45092955,-0.61108613
8,16,75,132,0.5484642,0.027270779,-0.12960872,0.59040666,0.46314648,0.6196625
9,16,201,31,0.008635541,0.7224021,0.87022746,-1.0733052,-0.83566785,-1.5260984
10,16,200,80,9.870698e-05,0.8534042,-1.0269076,-0.05311282,-4.1950836,0.23629752
11,16,158,29,0.005734932,0.3541859,0.22856888,-0.21658234,0.5501211,-0.1319462
12,16,119,12,0.64051706,0.3844489,0.43143237,-0.19750227,1.4873928,0.3736208
13,16,120,87,0.28934276,0.7481636,-0.302649,-0.99195176,-2.0792162,-0.731463
14,16,132,6,0.30958813,0.10970941,0.524397,-0.94770753,-0.7541885,-0.892717
15,16,135,103,0.00048478006,0.89030117,-0.26723376,-0.08149249,-2.703394,-1.3436596
16,16,200,77,0.000267403,0.8277552,-1.9867178,0.73561037,-3.5272875,0.41146302
17,16,35,111,0.8023439,0.88880986,0.99842566,0.16157976,2.117232,-0.12952854
18,16,184,7,0.05307331,0.71891,-0.62595665,-1.976715,-0.8991684,-1.5154266
19,16,123,6,0.8138672,0.9771806,0.81665385,1.8735859,-0.5195206,-0.7550744
20,16,128,0,0.77854633,0.5194096,0.30943036,0.12951712,0.39040554,0.6859021
21,16,64,109,0.11808927,0.5125213,-0.77635634,-0.8271305,-1.315839,-1.4619017
22,16,169,58,0.019151744,0.7566302,1.0930281,-0.8283746,-0.49608776,-1.2268419
23,16,14,143,0.5862951,0.76369476,-1.5805354,-0.017321685,0.66954935,1.1587169
24,16,115,30,0.45447406,0.008562797,-0.56202143,1.3805516,0.603865,-0.6218974
25,16,56,120,0.8109263,0.9496958,2.829553,-0.32934186,0.23474081,-1.3856257
26,16,165,68,4.849911e-05,0.80687714,0.060705815,-0.57984483,-3.816576,-1.6499014
27,16,142,16,0.789877,0.8131825,-0.11579676,-0.5878919,0.8120333,-0.3888604
28,16,93,45,0.64951473,0.029405203,1.3932741,-1.1884781,2.1504757,-1.4531386
29,16,157,29,0.012379168,0.41732955,-0.10376504,-0.018333238,0.7328496,0.068254285
30,16,198,51,0.0011771617,0.8634808,0.11751161,-1.4995818,-2.5184438,-1.0538505
31,16,104,115,0.03415057,0.016467828,-0.6127689,1.2583486,0.80189836,-0.5117253
32,16,125,47,0.55229634,0.02574407,-0.34946078,-0.15768465,-0.14858432,2.472584
33,16,71,86,0.6081439,0.6995952,0.9594247,0.21926564,1.88245,0.50565535
34,16,184,92,0.032876257,0.40462315,-0.29405987,0.19958177,-0.041508332,-0.06401929
35,16,105,34,0.91501266,0.7610862,1.1181923,-1.4372032,-0.66250855,-1.0550945
36,16,99,1,0.16657913,0.43706465,-0.10376422,0.22893624,0.24819386,-0.50711465
37,16,114,89,0.6769681,0.50033605,-0.66593343,-0.12884875,0.5406215,0.11134386
38,16,40,77,0.47030368,0.92102957,0.35430837,0.22400828,1.295897,-0.42123345
39,16,54,88,0.41467142,0.03364031,-0.40118644,0.14611852,2.204053,-0.42876583
40,16,75,9,0.57776874,0.8158909,0.047554508,-0.80499166,1.9731265,-0.2005336
41,16,170,14,0.12360002,0.108681135,-0.47887695,-0.6182819,0.05623434,-0.22862934
42,16,105,11,0.5766387,0.1797545,0.038650874,1.0351139,0.38473988,1.0148813
43,16,78,103,0.7946089,0.66611767,-0.15186186,-0.25326946,-0.4700278,0.76926214
44,16,86,111,0.95757407,0.9067305,0.124080636,0.9890984,-0.61225855,1.0702784
45,16,177,107,0.074226536,0.259872,-0.42795047,-0.42218533,-0.31915948,-0.16008379
46,16,163,47,0.0006976478,0.87508446,-0.8078136,-0.99483335,-3.0061126,-1.0814533
47,16,45,81,0.39989805,0.10381873,0.27465603,-0.25242662,-0.17497472,0.8070374
48,16,110,4,0.7813345,0.09181046,-0.17149092,0.33812538,-0.6602677,2.843437
49,16,81,4,0.8900121,0.75326663,0.09486994,-0.1891525,0.9898575,0.10692826
50,16,84,8,0.102118365,0.062039714,-0.8481105,-0.6195544,1.3054549,-1.1115843
51,16,178,42,0.0012400984,0.68732756,0.1458571,-0.62971365,-2.5499365,-0.8947343
52,16,204,84,6.808509e-06,0.6184566,-2.5854845,0.6824104,-3.0508225,0.29215014
53,16,126,99,0.016237842,0.48173493,-0.77792,-0.1285645,-0.4647511,-0.761359
54,16,104,2,0.48717076,0.7022275,0.31082505,0.95137596,0.57171255,-1.2879552
55,16,187,92,0.010131562,0.101129256,-0.47683957,0.100568876,0.13566662,-0.9099453
56,16,10,146,0.3117507,0.57886726,-0.6845831,1.5613819,0.09125142,0.4022895
57,16,131,37,0.2999354,0.015312156,-0.020398453,0.04150197,1.3010161,-0.3131217
58,16,101,24,0.5970117,0.05460584,0.07311728,0.7991722,1.4285288,-0.9819939
59,16,102,30,0.67983794,0.9505918,-0.19715947,1.608698,0.8020474,-0.9204481
60,16,66,135,0.9039075,0.88009363,-1.1538153,-0.9591416,-0.10151468,-1.0596465
61,16,33,109,0.6885659,0.20764594,-0.5513515,-0.385731,1.5662225,0.74852973
62,16,91,12,0.7612221,0.9549011,2.1077728,0.15016681,0.49958852,-0.7397137
63,16,180,59,0.00014606609,0.6809503,-1.4876645,-0.109710045,-4.3758273,-1.1682268
64,16,50,84,0.7934188,0.091203615,-0.031050367,0.037758347,0.18117338,1.1520692
65,16,87,42,0.47492743,0.055304717,-0.572309,-0.1171614,0.5328358,1.8111883
66,16,51,91,0.94832706,0.51477563,-0.6289481,-0.7950853,0.28690675,-0.80817884
67,16,78,22,0.56800425,0.08188652,-0.69818544,0.9044368,-0.5724079,1.4599606
68,16,27,113,0.81756765,0.92492145,3.0492399,0.048654016,0.86121976,-0.107864745
69,16,52,73,0.58061695,0.07733002,0.13955647,-0.3091143,-0.471198,1.7825438
70,16,139,64,0.77984,0.800535,0.4779952,0.06428702,-0.92348504,0.49304378
71,16,55,73,0.41978317,0.016297072,0.6364038,-0.929233,0.8024688,0.021564985
72,16,83,42,0.57758605,0.022277024,0.44630292,-0.42434978,2.0740812,-1.30167
73,16,199,79,0.00067449646,0.8703792,-0.66187173,-0.010615673,-1.7200345,0.071945645
74,16,40,101,0.23380856,0.27803087,-0.46375394,-0.19609034,1.8178936,-0.40858883
75,16,80,110,0.8907495,0.8935455,1.001231,-0.26885757,1.1280192,-0.3493753
76,16,98,91,0.72424924,0.040545233,-0.8332434,0.8410301,0.056074876,1.7374932
77,16,122,100,0.07463656,0.66397333,-2.2179046,1.049939,0.48034436,0.3598439
78,16,136,74,0.26122826,0.07077353,-0.6547511,-0.36238942,-0.33139428,0.09201839
79,16,97,15,0.79383665,0.086113445,0.75726455,-0.8605749,0.37577614,0.050659202
80,16,107,49,0.60251886,0.20116654,-0.4391715,0.0500217,0.47126386,0.5585162
81,16,109,16,0.65639687,0.95134234,2.0382853,1.081077,0.87920576,-0.6989575
82,16,94,19,0.4672067,0.0325537,-0.591037,0.30966723,1.0397565,-0.0066188592
83,16,153,12,0.63599265,0.6692183,0.61736333,0.2881567,0.8341783,-0.5575367
84,16,97,36,0.6150494,0.010755264,-0.1875,-0.8376969,-0.17991966,0.4471098
85,16,68,87,0.92984235,0.029086793,-0.18906952,0.21851641,-0.0014300433,0.18643583
